Year,Storm Name,Storm Dates,Time,Reg,Sub Reg,Country,State,Location,Lat,Lon,Surge_m,Surge_ft,Storm_Tide_m,Storm_Tide_ft,Storm_Tide_Waves_m,Storm_Tide_Waves_ft,Datum,Type of Obs,Tropical,Confidence,Surge ID,Storm ID
1991,Chittagong Cyclone - Cyclone Gorky,19-Apr,,3,1,BD,,Bangladesh,22.3531,91.7561,7.6,24.93,8.2,,,,,,Y,,,
2007,Sidr,15-Nov,,3,1,BD,,Outlet of the Baleswar River,21.7228,89.4003,5.75,,,,,,,,Y,,,
1737,Unnamed,October,,3,1,IN,,Sunderbans (storm crossed coast at mouth of Hooghly River),,,12,,,,,,,,Y,,,
1864,Unnamed,Oct,,3,1,IN,,Calcutta and Surroundings,,,12,,,,,,,,Y,,,
1885,False Point Cyclone,Sept,,3,1,IN,,North Orissa,,,7,22,,,,,,,Y,,,
1952,Unnamed,November,,3,1,IN,,South Coromandal Coast and Northern Shores of Palk Bay,,,3,,,,,,,,Y,,,
1964,Rameswaram,Dec,,3,1,IN,,India,10.3144,79.3811,,,5,16.4,,,,,Y,,,
1971,Unnamed,30-Oct,,3,1,IN,,India,21.2305,86.8522,,,5,16.4,,,,,Y,,,
1976,Unnamed,25-Nov,,3,1,IN,,Visakhapatam,17.6229,83.2291,,,0.22,0.72,,,,,Y,,,
1977,Andhra Cyclone,19-Nov,,3,1,IN,,Just southwest of Machilipatnam (near Divi Island),16.0589,81.1636,,,5,16.4,,,Mean Sea Level,,Y,,,
1978,Unnamed,4-Nov,,3,1,IN,,Chennai,,,,,0.2,,,,,,Y,,,
1981,Unnamed,7-Aug,,3,1,IN,,Paradip,20.2821,86.6711,,,0.43,,,,,,Y,,,
1982,Orissa Cyclone,3-Jun,,3,1,IN,,Dharma Port,20.8169,86.9686,,,3.5,11.48,,,,,Y,,,
1984,Unnamed,1-Aug,,3,1,IN,,Paradip,20.2821,86.6711,,,0.4,,,,,,Y,,,
1986,Unnamed,12-Aug,,3,1,IN,,Visakhapatam,17.6229,83.2291,,,1.8,,,,,,Y,,,
1989,Kavali Cyclone,2-9 Nov,,3,1,IN,,Near Kottapatnam,15.4319,80.1734,4,,,,,,,,Y,,,
1990,Andhra or Divi Cyclone,9-May,,3,1,IN,,Andhra Pradesh just SW of Krishna River,15.8783,80.7247,,,4.5,,,,,,Y,,,
1992,Tuticorin Cyclone,11-17 Nov,,3,1,IN,,East of Tuticorin Tamil Nadu,8.9639,78.2131,,,1.5,4.92,,,,,Y,,,
1993,Karaikal Cyclone,2-4 Dec,,3,1,IN,,North of Karaikal,10.9951,79.8539,,,1,3.28,,,,,Y,,,
1996,Kakinada Cyclone,1-7 Nov,,3,1,IN,,Near Kakinada,16.953,82.2689,4.1,,,,,,,,Y,,,
1999,Orissa Cyclone,Oct,,3,1,IN,,Near Paradip India,20.2769,86.6678,7.5,,,,,,,,Y,,,
2010,Laila,May 17-21,,3,1,IN,,,,,,,,,,,,,Y,,,
2010,Jal,Nov 4-7,,3,1,IN,,,,,,,,,,,,,Y,,,
2011,Thane,Dec 25-30,,3,1,IN,,Cuddalore Puducherry and Villuparam,11.9359,79.8372,,,1,3.28,,,,,Y,,,
1975,Bassein Cyclone,4-8 May,,3,1,MM,,Pegu,16.5844,94.3439,,,5,16.4,,,,,Y,,,
1982,Gwa,,,3,1,MM,,Between Gwa and Pathein,17.1931,94.5264,4,13.12,,,,,,,Y,,,
2006,Mala,,,3,1,MM,,South of Gwa,17.3944,94.5697,4,13.12,,,,,,,Y,,,
2008,Nargis,,,3,1,MM,,Pyinsalu Myanmar,15.8204,94.8115,,,5,,,,,,Y,,,
2010,Giri,Oct 21-22,,3,1,MM,,Myanmar,,,,,,,,,,,Y,,,
1975,Porbandar Cyclone,October,,3,2,IN,,Just north of Porbandar India,21.669,69.5462,2.8,,,,,,,,Y,,,
1998,Kandla,June,,3,2,IN,,India,22.9901,70.2244,2.5,,,,,,,,Y,,,
2007,Gonu,Jun 2-7,,3,2,OM,,Ras al-Hadd,22.529,59.7983,,,,,5,,,,Y,,,
2010,Phet,May 31- Jun 6,,3,2,OM,,Oman,,,,,,,,,,,Y,,,
1999,Karachi Cyclone,May,,3,2,PK,,,,,,,,,,,,,Y,,,
2001,Unnamed,May,,3,2,PK,,South of Kori Creek,23.4359,68.529,1,3.28,,,,,,,Y,,,
2011,Bingiza,14-Feb,,4,1,MG,,Near Manambolosy,-16.0278,49.6783,3.5,11.48,,,,,,,Y,1,,
2012,Giovanna,Feb 9-21,,4,1,MG,,,,,,,,,,,,,Y,,,
2012,Funso,Jan 19-28,,4,2,MO,,Mozambique,,,,,,,,,,,Y,,,
,,,,,,,,,,,,,,,,,,,,2,2,2
,,,,,,,,,,,,,,,,,,,,3,20.2,20
,,,,,,,,,,,,,,,,,,,,3,22,22
,,,,,,,,,,,,,,,,,,,,3,16,16
,,,,,,,,,,,,,,,,,,,,2,21,21
,,,,,,,,,,,,,,,,,,,,3,33,33
,,,,,,,,,,,,,,,,,,,,1,30.2,30
,,,,,,,,,,,,,,,,,,,,3,48,48
,,,,,,,,,,,,,,,,,,,,1,51,51
,,,,,,,,,,,,,,,,,,,,1,53,53
,,,,,,,,,,,,,,,,,,,,3,59,59
,,,,,,,,,,,,,,,,,,,,2,58,58
,,,,,,,,,,,,,,,,,,,,3,61.2,61
,,,,,,,,,,,,,,,,,,,,2,70.2,70
,,,,,,,,,,,,,,,,,,,,3,73.2,73
,,,,,,,,,,,,,,,,,,,,3,78.3,78
,,,,,,,,,,,,,,,,,,,,3,78.2,78
,,,,,,,,,,,,,,,,,,,,2,77,77
,,,,,,,,,,,,,,,,,,,,3,85.2,85
,,,,,,,,,,,,,,,,,,,,3,92,92
,,,,,,,,,,,,,,,,,,,,3,103,103
,,,,,,,,,,,,,,,,,,,,3,101,101
,,,,,,,,,,,,,,,,,,,,3,99,99
,,,,,,,,,,,,,,,,,,,,3,107,107
,,,,,,,,,,,,,,,,,,,,1,108,108
,,,,,,,,,,,,,,,,,,,,3,110,110
,,,,,,,,,,,,,,,,,,,,3,109,109
,,,,,,,,,,,,,,,,,,,,,111,111
,,,,,,,,,,,,,,,,,,,,2,115,115
,,,,,,,,,,,,,,,,,,,,3,113,113
,,,,,,,,,,,,,,,,,,,,3,114,114
,,,,,,,,,,,,,,,,,,,,2,121,121
,,,,,,,,,,,,,,,,,,,,3,117,117
,,,,,,,,,,,,,,,,,,,,3,119,119
,,,,,,,,,,,,,,,,,,,,2,123,123
,,,,,,,,,,,,,,,,,,,,1,124,124
,,,,,,,,,,,,,,,,,,,,2,126.2,126
,,,,,,,,,,,,,,,,,,,,2,126.1,126
,,,,,,,,,,,,,,,,,,,,3,127,127
,,,,,,,,,,,,,,,,,,,,3,128,128
,,,,,,,,,,,,,,,,,,,,3,130,130
,,,,,,,,,,,,,,,,,,,,3,129,129
,,,,,,,,,,,,,,,,,,,,3,135,135
,,,,,,,,,,,,,,,,,,,,1,136,136
,,,,,,,,,,,,,,,,,,,,1,139,139
,,,,,,,,,,,,,,,,,,,,2,145,145
,,,,,,,,,,,,,,,,,,,,4,146.2,146
,,,,,,,,,,,,,,,,,,,,2,146.1,146
,,,,,,,,,,,,,,,,,,,,2,155.1,155
,,,,,,,,,,,,,,,,,,,,2,154,154
,,,,,,,,,,,,,,,,,,,,2,158,158
,,,,,,,,,,,,,,,,,,,,1,160.2,160
,,,,,,,,,,,,,,,,,,,,2,159,159
,,,,,,,,,,,,,,,,,,,,2,170.2,170
,,,,,,,,,,,,,,,,,,,,1,166,166
,,,,,,,,,,,,,,,,,,,,2,175.2,175
,,,,,,,,,,,,,,,,,,,,3,174,174
,,,,,,,,,,,,,,,,,,,,3,178.1,178
,,,,,,,,,,,,,,,,,,,,2,178.2,178
,,,,,,,,,,,,,,,,,,,,3,184,184
,,,,,,,,,,,,,,,,,,,,3,185.2,185
,,,,,,,,,,,,,,,,,,,,3,185.1,185
,,,,,,,,,,,,,,,,,,,,3,194,194
,,,,,,,,,,,,,,,,,,,,2,199,199
,,,,,,,,,,,,,,,,,,,,3,202,202
,,,,,,,,,,,,,,,,,,,,3,205,205
,,,,,,,,,,,,,,,,,,,,3,206.2,206
,,,,,,,,,,,,,,,,,,,,3,206.1,206
,,,,,,,,,,,,,,,,,,,,1,204,204
,,,,,,,,,,,,,,,,,,,,3,209,209
,,,,,,,,,,,,,,,,,,,,3,208,208
,,,,,,,,,,,,,,,,,,,,2,212,212
,,,,,,,,,,,,,,,,,,,,2,211,211
,,,,,,,,,,,,,,,,,,,,3,215,215
,,,,,,,,,,,,,,,,,,,,3,218,218
,,,,,,,,,,,,,,,,,,,,1,216,216
,,,,,,,,,,,,,,,,,,,,3,224,224
,,,,,,,,,,,,,,,,,,,,3,229.2,229
,,,,,,,,,,,,,,,,,,,,2,229.1,229
,,,,,,,,,,,,,,,,,,,,1,228,228
,,,,,,,,,,,,,,,,,,,,3,235,235
,,,,,,,,,,,,,,,,,,,,2,236,236
,,,,,,,,,,,,,,,,,,,,2,241,241
,,,,,,,,,,,,,,,,,,,,3,239,239
,,,,,,,,,,,,,,,,,,,,2,245,245
,,,,,,,,,,,,,,,,,,,,2,243,243
,,,,,,,,,,,,,,,,,,,,3,242,242
,,,,,,,,,,,,,,,,,,,,3,254,254
,,,,,,,,,,,,,,,,,,,,3,259,259
,,,,,,,,,,,,,,,,,,,,2,261,261
,,,,,,,,,,,,,,,,,,,,3,260,260
,,,,,,,,,,,,,,,,,,,,3,265.1,265
,,,,,,,,,,,,,,,,,,,,3,265.2,265
,,,,,,,,,,,,,,,,,,,,3,263,263
,,,,,,,,,,,,,,,,,,,,2,267,267
,,,,,,,,,,,,,,,,,,,,1,270,270
,,,,,,,,,,,,,,,,,,,,3,268,268
,,,,,,,,,,,,,,,,,,,,3,269,269
,,,,,,,,,,,,,,,,,,,,3,266,266
,,,,,,,,,,,,,,,,,,,,2,272.2,272
,,,,,,,,,,,,,,,,,,,,4,271,271
,,,,,,,,,,,,,,,,,,,,3,272.1,272
,,,,,,,,,,,,,,,,,,,,3,277,277
,,,,,,,,,,,,,,,,,,,,3,278,278
,,,,,,,,,,,,,,,,,,,,3,276,276
,,,,,,,,,,,,,,,,,,,,3,274,274
,,,,,,,,,,,,,,,,,,,,2,275,275
,,,,,,,,,,,,,,,,,,,,2,280,280
,,,,,,,,,,,,,,,,,,,,3,281,281
,,,,,,,,,,,,,,,,,,,,4,279,279
,,,,,,,,,,,,,,,,,,,,2,282,282
,,,,,,,,,,,,,,,,,,,,2,284,284
,,,,,,,,,,,,,,,,,,,,3,287,287
,,,,,,,,,,,,,,,,,,,,2,288,288
,,,,,,,,,,,,,,,,,,,,2,289,289
,,,,,,,,,,,,,,,,,,,,2,285,285
,,,,,,,,,,,,,,,,,,,,2,286,286
,,,,,,,,,,,,,,,,,,,,2,290,290
,,,,,,,,,,,,,,,,,,,,3,291.2,291
,,,,,,,,,,,,,,,,,,,,3,291.1,291
,,,,,,,,,,,,,,,,,,,,2,292,292
,,,,,,,,,,,,,,,,,,,,2,293.2,293
,,,,,,,,,,,,,,,,,,,,2,294.1,294
,,,,,,,,,,,,,,,,,,,,3,293.1,293
,,,,,,,,,,,,,,,,,,,,2,294.2,294
,,,,,,,,,,,,,,,,,,,,2,295,295
,,,,,,,,,,,,,,,,,,,,3,298,298
,,,,,,,,,,,,,,,,,,,,2,299,299
,,,,,,,,,,,,,,,,,,,,2,297,297
,,,,,,,,,,,,,,,,,,,,2,300,300
,,,,,,,,,,,,,,,,,,,,2,303,303
,,,,,,,,,,,,,,,,,,,,2,305,305
,,,,,,,,,,,,,,,,,,,,3,304,304
,,,,,,,,,,,,,,,,,,,,2,306,306
,,,,,,,,,,,,,,,,,,,,2,308.2,308
,,,,,,,,,,,,,,,,,,,,3,309,309
,,,,,,,,,,,,,,,,,,,,2,308.1,308
,,,,,,,,,,,,,,,,,,,,3,310,310
,,,,,,,,,,,,,,,,,,,,3,311,311
,,,,,,,,,,,,,,,,,,,,2,313,313
,,,,,,,,,,,,,,,,,,,,2,315,315
,,,,,,,,,,,,,,,,,,,,2,314,314
,,,,,,,,,,,,,,,,,,,,2,318,318
,,,,,,,,,,,,,,,,,,,,2,317,317
,,,,,,,,,,,,,,,,,,,,2,321,321
,,,,,,,,,,,,,,,,,,,,3,326.2,326
,,,,,,,,,,,,,,,,,,,,3,322,322
,,,,,,,,,,,,,,,,,,,,2,323,323
,,,,,,,,,,,,,,,,,,,,2,325,325
,,,,,,,,,,,,,,,,,,,,3,324,324
,,,,,,,,,,,,,,,,,,,,2,329,329
,,,,,,,,,,,,,,,,,,,,2,328,328
,,,,,,,,,,,,,,,,,,,,3,327,327
,,,,,,,,,,,,,,,,,,,,2,332,332
,,,,,,,,,,,,,,,,,,,,2,334,334
,,,,,,,,,,,,,,,,,,,,3,333,333
,,,,,,,,,,,,,,,,,,,,3,340.2,340
,,,,,,,,,,,,,,,,,,,,2,338.2,338
,,,,,,,,,,,,,,,,,,,,3,339,339
,,,,,,,,,,,,,,,,,,,,2,338.1,338
,,,,,,,,,,,,,,,,,,,,2,337,337
,,,,,,,,,,,,,,,,,,,,3,341,341
,,,,,,,,,,,,,,,,,,,,2,343,343
,,,,,,,,,,,,,,,,,,,,3,345,345
,,,,,,,,,,,,,,,,,,,,3,346,346
,,,,,,,,,,,,,,,,,,,,3,347,347
,,,,,,,,,,,,,,,,,,,,3,344,344
,,,,,,,,,,,,,,,,,,,,3,348,348
,,,,,,,,,,,,,,,,,,,,3,349,349
,,,,,,,,,,,,,,,,,,,,2,350,350
,,,,,,,,,,,,,,,,,,,,3,351,351
,,,,,,,,,,,,,,,,,,,,2,353.1,353
,,,,,,,,,,,,,,,,,,,,2,353.2,353
,,,,,,,,,,,,,,,,,,,,2,354,354
,,,,,,,,,,,,,,,,,,,,3,356,356
,,,,,,,,,,,,,,,,,,,,2,355,355
,,,,,,,,,,,,,,,,,,,,2,357,357
,,,,,,,,,,,,,,,,,,,,2,358,358
,,,,,,,,,,,,,,,,,,,,2,363,363
,,,,,,,,,,,,,,,,,,,,2,360,360
,,,,,,,,,,,,,,,,,,,,2,362,362
,,,,,,,,,,,,,,,,,,,,2,366,366
,,,,,,,,,,,,,,,,,,,,3,365,365
,,,,,,,,,,,,,,,,,,,,2,367,367
,,,,,,,,,,,,,,,,,,,,2,369,369
,,,,,,,,,,,,,,,,,,,,2,371.2,371
,,,,,,,,,,,,,,,,,,,,2,370,370
,,,,,,,,,,,,,,,,,,,,2,371.1,371
,,,,,,,,,,,,,,,,,,,,3,368,368
,,,,,,,,,,,,,,,,,,,,2,373,373
,,,,,,,,,,,,,,,,,,,,2,376,376
,,,,,,,,,,,,,,,,,,,,2,374,374
,,,,,,,,,,,,,,,,,,,,2,375,375
,,,,,,,,,,,,,,,,,,,,2,378,378
,,,,,,,,,,,,,,,,,,,,3,379,379
,,,,,,,,,,,,,,,,,,,,2,383,383
,,,,,,,,,,,,,,,,,,,,2,381,381
,,,,,,,,,,,,,,,,,,,,2,384,384
,,,,,,,,,,,,,,,,,,,,2,382,382
,,,,,,,,,,,,,,,,,,,,3,388,388
,,,,,,,,,,,,,,,,,,,,2,386,386
,,,,,,,,,,,,,,,,,,,,3,385,385
,,,,,,,,,,,,,,,,,,,,2,389,389
,,,,,,,,,,,,,,,,,,,,3,387,387
,,,,,,,,,,,,,,,,,,,,2,390,390
,,,,,,,,,,,,,,,,,,,,2,393,393
,,,,,,,,,,,,,,,,,,,,2,391,391
,,,,,,,,,,,,,,,,,,,,2,398.1,398
,,,,,,,,,,,,,,,,,,,,3,400,400
,,,,,,,,,,,,,,,,,,,,2,399,399
,,,,,,,,,,,,,,,,,,,,3,395,395
,,,,,,,,,,,,,,,,,,,,2,398.2,398
,,,,,,,,,,,,,,,,,,,,3,396,396
,,,,,,,,,,,,,,,,,,,,2,397,397
,,,,,,,,,,,,,,,,,,,,3,401,401
,,,,,,,,,,,,,,,,,,,,2,405.1,405
,,,,,,,,,,,,,,,,,,,,3,403.1,403
,,,,,,,,,,,,,,,,,,,,2,405.2,405
,,,,,,,,,,,,,,,,,,,,3,406.2,406
,,,,,,,,,,,,,,,,,,,,2,407,407
,,,,,,,,,,,,,,,,,,,,3,403.2,403
,,,,,,,,,,,,,,,,,,,,2,402,402
,,,,,,,,,,,,,,,,,,,,3,404,404
,,,,,,,,,,,,,,,,,,,,3,406.1,406
,,,,,,,,,,,,,,,,,,,,2,408,408
,,,,,,,,,,,,,,,,,,,,2,409,409
,,,,,,,,,,,,,,,,,,,,3,411,411
,,,,,,,,,,,,,,,,,,,,2,412,412
,,,,,,,,,,,,,,,,,,,,3,417.2,417
,,,,,,,,,,,,,,,,,,,,2,416.1,416
,,,,,,,,,,,,,,,,,,,,2,414,414
,,,,,,,,,,,,,,,,,,,,2,418.1,418
,,,,,,,,,,,,,,,,,,,,2,417.1,417
,,,,,,,,,,,,,,,,,,,,3,418.2,418
,,,,,,,,,,,,,,,,,,,,3,420,420
,,,,,,,,,,,,,,,,,,,,3,419,419
,,,,,,,,,,,,,,,,,,,,3,421,421
,,,,,,,,,,,,,,,,,,,,3,423,423
,,,,,,,,,,,,,,,,,,,,3,426,426
,,,,,,,,,,,,,,,,,,,,2,427,427
,,,,,,,,,,,,,,,,,,,,3,428,428
,,,,,,,,,,,,,,,,,,,,3,429,429
,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,116.1,116
,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,126.1,126
,,,,,,,,,,,,,,,,,,,,,125.1,125
,,,,,,,,,,,,,,,,,,,,,131.1,131
,,,,,,,,,,,,,,,,,,,,2,130.1,130
,,,,,,,,,,,,,,,,,,,,2,143.1,143
,,,,,,,,,,,,,,,,,,,,2,144.1,144
,,,,,,,,,,,,,,,,,,,,,150.1,150
,,,,,,,,,,,,,,,,,,,,2,154.1,154
,,,,,,,,,,,,,,,,,,,,,159.1,159
,,,,,,,,,,,,,,,,,,,,2,171.1,171
,,,,,,,,,,,,,,,,,,,,,176.1,176
,,,,,,,,,,,,,,,,,,,,,175.1,175
,,,,,,,,,,,,,,,,,,,,,184.1,184
,,,,,,,,,,,,,,,,,,,,,182.1,182
,,,,,,,,,,,,,,,,,,,,2,185.11,185.1
,,,,,,,,,,,,,,,,,,,,,190.1,190
,,,,,,,,,,,,,,,,,,,,,194.1,194
,,,,,,,,,,,,,,,,,,,,2,198.2,198
,,,,,,,,,,,,,,,,,,,,,202.1,202
,,,,,,,,,,,,,,,,,,,,,208.1,208
,,,,,,,,,,,,,,,,,,,,3,207.2,207
,,,,,,,,,,,,,,,,,,,,3,210.1,210
,,,,,,,,,,,,,,,,,,,,2,212.1,212
,,,,,,,,,,,,,,,,,,,,2,217.1,217
,,,,,,,,,,,,,,,,,,,,,214.1,214
,,,,,,,,,,,,,,,,,,,,,221.1,221
,,,,,,,,,,,,,,,,,,,,,223.1,223
,,,,,,,,,,,,,,,,,,,,,229.1,229
,,,,,,,,,,,,,,,,,,,,3,238.1,238
,,,,,,,,,,,,,,,,,,,,3,236.1,236
,,,,,,,,,,,,,,,,,,,,,241.1,241
,,,,,,,,,,,,,,,,,,,,,240.1,240
,,,,,,,,,,,,,,,,,,,,3,239.1,239
,,,,,,,,,,,,,,,,,,,,,242.1,242
,,,,,,,,,,,,,,,,,,,,2,245.1,245
,,,,,,,,,,,,,,,,,,,,2,247.1,247
,,,,,,,,,,,,,,,,,,,,,246.1,246
,,,,,,,,,,,,,,,,,,,,3,250.3,250
,,,,,,,,,,,,,,,,,,,,2,253.1,253
,,,,,,,,,,,,,,,,,,,,2,255.2,255
,,,,,,,,,,,,,,,,,,,,2,259.1,259
,,,,,,,,,,,,,,,,,,,,2,258.1,258
,,,,,,,,,,,,,,,,,,,,2,257.1,257
,,,,,,,,,,,,,,,,,,,,2,260.2,260
,,,,,,,,,,,,,,,,,,,,2,262.1,262
,,,,,,,,,,,,,,,,,,,,2,261.1,261
,,,,,,,,,,,,,,,,,,,,2,265.1,265
,,,,,,,,,,,,,,,,,,,,2,270.2,270
,,,,,,,,,,,,,,,,,,,,2,276.1,276
,,,,,,,,,,,,,,,,,,,,2,275.2,275
,,,,,,,,,,,,,,,,,,,,2,277.1,277
,,,,,,,,,,,,,,,,,,,,2,281.2,281
,,,,,,,,,,,,,,,,,,,,4,284.2,284
,,,,,,,,,,,,,,,,,,,,2,283.11,283.1
,,,,,,,,,,,,,,,,,,,,2,289.2,289
,,,,,,,,,,,,,,,,,,,,2,293.1,293
,,,,,,,,,,,,,,,,,,,,2,292.1,292
,,,,,,,,,,,,,,,,,,,,3,294.1,294
,,,,,,,,,,,,,,,,,,,,2,295.2,295
,,,,,,,,,,,,,,,,,,,,2,298.1,298
,,,,,,,,,,,,,,,,,,,,2,297.1,297
,,,,,,,,,,,,,,,,,,,,2,299.1,299
,,,,,,,,,,,,,,,,,,,,2,300.1,300
,,,,,,,,,,,,,,,,,,,,3,308.1,308
,,,,,,,,,,,,,,,,,,,,,307.1,307
,,,,,,,,,,,,,,,,,,,,,306.2,306
,,,,,,,,,,,,,,,,,,,,,305.1,305
,,,,,,,,,,,,,,,,,,,,2,310.1,310
,,,,,,,,,,,,,,,,,,,,3,312.1,312
,,,,,,,,,,,,,,,,,,,,2,311.11,311.1
,,,,,,,,,,,,,,,,,,,,3,311.1,311
,,,,,,,,,,,,,,,,,,,,2,316.1,316
,,,,,,,,,,,,,,,,,,,,,314.1,314
,,,,,,,,,,,,,,,,,,,,,313.1,313
,,,,,,,,,,,,,,,,,,,,2,319.11,319.1
,,,,,,,,,,,,,,,,,,,,2,319.1,319
,,,,,,,,,,,,,,,,,,,,2,322.1,322
,,,,,,,,,,,,,,,,,,,,,321.1,321
,,,,,,,,,,,,,,,,,,,,3,323.1,323
,,,,,,,,,,,,,,,,,,,,2,330.1,330
,,,,,,,,,,,,,,,,,,,,2,327.1,327
,,,,,,,,,,,,,,,,,,,,,326.1,326
,,,,,,,,,,,,,,,,,,,,,325.1,325
,,,,,,,,,,,,,,,,,,,,,324.1,324
,,,,,,,,,,,,,,,,,,,,3,334.1,334
,,,,,,,,,,,,,,,,,,,,3,333.2,333
,,,,,,,,,,,,,,,,,,,,3,332.1,332
,,,,,,,,,,,,,,,,,,,,3,331.11,331.1
,,,,,,,,,,,,,,,,,,,,3,331.1,331
,,,,,,,,,,,,,,,,,,,,3,330.21,330.2
,,,,,,,,,,,,,,,,,,,,3,336.2,336
,,,,,,,,,,,,,,,,,,,,3,336.2,336
,,,,,,,,,,,,,,,,,,,,2,335.1,335
,,,,,,,,,,,,,,,,,,,,3,334.11,334.1
,,,,,,,,,,,,,,,,,,,,3,336.11,336.1
,,,,,,,,,,,,,,,,,,,,,340.11,340.1
,,,,,,,,,,,,,,,,,,,,,340.1,340
,,,,,,,,,,,,,,,,,,,,2,339.1,339
,,,,,,,,,,,,,,,,,,,,,342.1,342
,,,,,,,,,,,,,,,,,,,,3,344.2,344
,,,,,,,,,,,,,,,,,,,,2,,
1961,Hattie,,,5,3,BZ,,Belize City Belize,17.5019,-88.1867,4.27,14,,,,,,,Y,,,
1978,Greta,,,5,3,BZ,,North part of Stann Creek,17.0333,-88.2431,2.13,7,,,,,,,Y,,,
2000,Keith,Sep 28- Oct 6,,5,3,BZ,,Caye Caulker,17.7417,-88.0239,1.52,5,,,,,,,Y,2,,
2001,Iris,Oct 4-9,,5,3,BZ,,Placenia and Independence,16.5186,-88.3672,4.57,15,,,,,,,Y,,,
2010,Richard,Oct 21-26,,5,3,BZ,,,,,,,,,,,,,Y,,,
1974,Fifi,,,5,3,BZ/HN,,Southern Belize/ Northern Honduras,15.9614,-88.9269,3.66,12,,,,,,,Y,3,,
1998,Mitch,Oct 22- Nov 5,,5,3,HN,,State of Colon Honduras,15.9256,-85.9417,3.6,11.81,,,,,,,Y,2,,
1977,Anita,Aug 29- Sep 3,,5,3,MX,,Approximately 200 km north of Tampico MX,24.0942,-97.7319,4.57,15,,,,,,,Y,3,,
1983,Barry,Aug 23-29,,5,3,MX,,Northern Mexico Coast,25.8914,-97.1467,1.22,4,,,,,,,Y,3,,
1988,Gilbert,,,5,3,MX,,Cozumel Island,20.4006,-86.8661,5.25,17.22,,,,,,,Y,,,
1988,Gilbert,Sep 8-20,,5,3,MX,TX,Northeast Mexico just N of landfall,24.4586,-97.6878,3.96,13,,,,,,,Y,3,,
1995,Roxanne,Oct 7-21,,5,3,MX,,Yucatan Peninsula SW of Cozumel Island,20.0822,-87.4775,3.05,10,,,,,,,Y,,,
2005,Emily,Jul 11-21,,5,3,MX,,San Miguil de Cozumel,20.5086,-86.9531,4.57,15,,,,,,,Y,,,
2005,Wilma,,,5,3,MX,,,,,,,,,,,,,Y,,,
2007,Dean,Aug 13-23,,5,3,MX,,Yucatan Peninsula,19.5967,-87.7481,5.49,18,,,,,,,Y,2,,
2007,Felix,Aug 31- Sep 6,,5,3,NI,,Northern Coast of Nicaragua,14.7701,-83.3178,5.49,18,,,,,,,Y,,,
2008,Omar,,,5,4,AG,,Antigua,17.1944,-61.8744,1.07,3.5,,,,,,,Y,,,
1963,Arlene,,,5,4,BM,,Bermuda,32.2494,-64.8475,2.13,7,,,,,,,Y,,,
1999,Gert,,,5,4,BM,,Bermuda (most likely E coast),32.3026,-64.7421,0.91,3,,,,,,,Y,,,
2001,Erin,,,5,4,BM,,,,,,,,,,,,,Y,,,
2003,Fabian,,,5,4,BM,,South Shore of Bermuda,32.2492,-64.8483,3.05,10,,,,,,,Y,,,
2014,Gonzalo,,,5,4,BM,,L.F. Wade International Airport,32.3631,-64.6836,,,1.83,6,,,,,Y,,,
1965,Betsy,,,5,4,BS,,Point Simon area of NW Andros Island,25.1778,-78.1639,2.74,9,,,,,,,Y,2,,
1992,Andrew,,,5,4,BS,,Lower Bogue Bahamas,25.4939,-76.6314,4.88,16,,,,,,,Y,,,
1999,Floyd,Sep 7-19,,5,4,BS,,Grand Bahama Island,26.6914,-78.2078,1.61,5.28,,,,,,,Y,,,
2001,Michelle,,,5,4,BS,,New Providence,24.9994,-77.4919,2.44,8,,,,,,,Y,,,
2005,Wilma,,,5,4,BS,,Grand Bahama Island,26.5878,-78.8689,3.66,12,,,,,,,Y,,,
1932,Unnamed,,,5,4,CU,,Santa Cruz del Sur Camaguey,20.7008,-77.9872,6.5,21.33,,,,,,,Y,,,
2001,Michelle,,,5,4,CU,,Cayo Largo,21.6006,-81.5225,3.05,10,,,,,,,Y,,,
2004,Charley,,,5,4,CU,,Playa Cajio,22.682,-82.4621,4,13.12,,,,,,,Y,2,,
1989,Hugo,17-Sep,,5,4,FR,,Baie-Mahault Guadeloupe,16.2661,-61.5951,2.5,8.2,,,,,,,Y,,,
1988,Gilbert,,,5,4,JM,,Northeast Coast of Jamaica,18.2386,-76.6601,2.74,9,,,,,,,Y,,,
2004,Ivan,,,5,4,KY,,Grand Cayman- Cayman Islands,19.2814,-81.2456,3.05,10,,,,,,,Y,,,
2008,Paloma,Nov 5-14,,5,4,KY,,Cayman Brac,19.7103,-79.8039,2.44,8,,,,,,,Y,2,,
1960,Donna,6-Sep,,5,4,PR,,North and Eastern Coasts of Puerto Rico,,,,6,,,,,,,Y,1,,
1998,Georges,,,5,4,PR,,Fajardo Puerto Rico,18.3361,-65.6331,3.05,10,,,,,,,Y,2,,
